djentelmen	джентельмен
jýrnalısıkanyń	журналистиканың
ýnıversıada	универсиада
hokeı	хоккей
aerovokzal	аэровокзал
ısfahan	исфаһан
súrealıster	сюрреалистер
ıodmetrleý	йодметрлеу
statýetka	статуэтка
monopolızasıa	монополизация
kooperasıasy	кооперациясы
elektromobıl	электромобиль
aeroflot	аэрофлот
cháıisý	чәйісу
karbúratorly	карбюраторлы
terıtorıalyq	территориялық
týneldik	туннельдік
qoqim	қоқьім
kolmatırlegish	кольматирлегіш
skech	скетч
aeroponıka	аэропоника
beıýaz	бейуаз
makroetnıkalyq	макроэтникалық
proletarıattyq	пролетариаттық
sekresıa	секреция
melıorasıadaǵy	мелиорациядағы
vólttik	вольттік
manıakal	маниакал
hárdaıym	һәрдайым
marketıńilik	маркетингілік
dıalızator	диализатор
dempıńige	демпингіге
bıogeosenologıa	биогеоценология
novelashy	новеллашы
mahısti	махисті
ásireınternasıonalıs	әсіреинтернационалист
ındıkasıalaý	индикациялау
teleobektıv	телеобъектив
ekologıa	экология
reıýshke	рейушке
bıchara	бичара
ahdnama	аһднама
obektini	объектіні
ap-ımamııa	ап-имамийа
revanshıstiń	реваншистің
alopatrıa	аллопатрия
garmondat	гармоньдат
satýrasıalaý	сатурациялау
aspırasıa	аспирация
ıamǵýr	иамғур
gemogram	гемограмма
avıasıalyq	авиациялық
noıabr	ноябрь
doıyrla	доиырла
kasasıalyq	кассациялық
demarketıń	демаркетинг
kópetnosty	көпэтносты
egopsıhologıa	эгопсихология
ekvılıbrıstiń	эквилибристің
deformasıa	деформация
trıangýlásıalyq	триангуляциялық
feletondatý	фельетондату
ıalfandy	иалфанды
kondensasıa	конденсация
alkoloıdtyq	алколоидтық
adenokarsınoma	аденокарцинома
sensýalısti	сенсуалисті
torǵaıaýyz	торғайауыз
dekorasıa	декорация
sharıar	шәриар
padshahzadanyń	падшаһзаданың
ıashunurǵa	иашұнұрға
sýhanchın	суханчин
ýgro-fın	угро-финн
gastrosel	гастроцель
kúvet	кювет
hámsal	һәмсал
voklúz	воклюз
ventıl	вентиль
mıkrososıologıa	микросоциология
týfıt	туффит
bechenek	беченек
batalóny	батальоны
modýlásıalaý	модуляциялау
zúrrıat	зүрриат
relátıvti	релятивті
ıańrady	иаңрады
sýmochka	сумочка
charqat	чарқат
álfa-spektrometr	альфа-спектрометр
gemosıtoblast	гемоцитобласт
velárlan	велярлан
ekstraaktıvti	экстраактивті
damola	дамолла
chahshady	чахшады
okýpasıalan	оккупациялан
bınahaıat	бинаһайат
aprobasıalaý	апробациялау
lısenzıar	лицензиар
taqchaq	тақчақ
sentımentalısik	сентименталистік
komentator	комментатор
qyıýasyz	қыйуасыз
ashkarah	ашкараһ
pýrıs	пурист
ımperıalızm	империализм
ıarıldı	иарилди
makrosemıa	макросемья
ıatǵashuq	иатғашұқ
ınkonel	инконель
brýsell	бруцелл
búdjeti	бюджеті
birinch	бірінч
kóılek	көилек
ınovasıasy	инновациясы
mýsondar	муссондар
chópteý	чөптеу
konfısýrasıa	конфицурация
dıametrlik	диаметрлік
almaurq	алмаұрьқ
ahadny	аһадны
konsentrasıasy	концентрациясы
razrádtik	разрядтық
aparel	аппарель
kediktený	кэдіктену
ıaýlarmyn	иаулармын
ratıfıkasıalaý	ратификациялау
mılıtarıster	милитаристер
materıaldarynyń	материалдарының
qachyshdy	қачышды
akompanıator	аккомпаниатор
avıasıa	авиация
desımetrleý	дециметрлеу
qashirym	қашьірым
múltfılm	мультфильм
hemosorbsıa	хемосорбция
aeroklýb	аэроклуб
medalsiz	медальсіз
gaýhardaı	гауһардай
arıstotel	аристотель
JShBJ	ЖШБЖ
kúlmınasıalyq	кульминациялық
perseverasıa	персеверация
últrakárlen	ультракәрлен
kúlkilápchin	күлкіләпчін
akýmýlásıasy	аккумуляциясы
súrveıer	сюрвейер
miskerchilik	міскерчілік
glıosıtter	глиоциттер
shaıaıaq	шайаяқ
referensıa	референция
jahildik	жәһілдік
materıalıstiń	материалистің
eýrooblıgasıa	еурооблигация
baharaq	баһарақ
marketıń	маркетинг
leıborısik	лейбористік
bıostımýlátor	биостимулятор
antofeın	антофеин
leksıka-gramatıkalyq	лексика-грамматикалық
osılografıa	осциллография
kazeınogen	казеиноген
separasıa	сепарация
tirsıt	тьірсит
adaptasıalan	адаптациялан
eıdetıkalyq	эйдетикалық
komısarlarynyń	комиссарларының
kóchede	көчеде
taqııamatǵacha	тақйиаматғача
fılmder	фильмдер
artıkýlásıa	артикуляция
qalaqcha	қалақча
rejıserlik	режиссерлік
lınogravúra	линогравюра
polovester	половецтер
trıýmvırat	триумвират
ýchaskesin	учаскесін
merıdıan	меридиан
fonogram	фонограмма
modeler	модельер
máýlána	мәуляна
hámısha	һәмишә
klassıfıkasıa	классификация
achyǵlanyb	ачығланыб
qychqyr	қычқыр
redýksıa	редукция
elıpsıs	эллипсис
bıajal	биажал
ıntonasıa	интонация
bıhtar	биһтар
HShB	ХШБ
ıaqyldy	иақылды
búdjettiń	бюджеттің
fólklor	фольклор
epızod	эпизод
chyqǵanda	чықғанда
júrekırek	жүрекйрек
chatyrdaǵan	чатырдаған
vakým-shómish	вакуум-шөміш
chyqqýdek	чыққудек
aneksıa	аннексия
gastroenterologıa	гастроэнтерология
qudiret	құдырет
farııadra	фарийадра
prosenoz	проценоз
prezıdıým	президиум
evolúsıalyq	эволюциялық
epıfenomen	эпифеномен
sesıasy	сессиясы
allahý	аллаһу
ásireınternasıonalıstiń	әсіреинтернационалистің
edýteınment	эдутейнмент
púls	пульс
mısıa	миссия
shlúz	шлюз
bııapan	бийапан
ametıster	аметистер
dızel	дизель
valvasıa	вальвация
modıfıkasıalyq	модификациялық
taıammom	тайаммом
semányń	семьяның
adsorbsıa	адсорбция
ekstrýzıa	экструзия
ıashyqty	иашықты
shahızada	шаһизада
ekspromt	экспромт
gıpostıldi	гипостильді
sıklder	циклдер
suranysqat	сұранысхат
kekilchilik	кекілчілік
denonsasıa	денонсация
týrıster	туристер
chyqǵandyn	чықғандын
trapesoedr	трапецоэдр
jahaýrat	жаһаурат
antresol	антресоль
ıodtanǵan	йодтанған
jaýharla	жауһарла
asfálttaý	асфальттау
avıabomby	авиабомбы
bazalt	базальт
radıoındıkatorlyq	радиоиндикаторлық
apelásıalyq	апелляциялық
sılıkol	силиколь
shıampý	шиампу
shahızadalyq	шаһизадалық
dızeldik	дизельдік
charovkalaý	чаровкалау
statıs	статист
fakúltetaralyq	факультетаралық
pomeshıktik	помещиктік
prosentter	проценттер
ýaqit	уақьіт
separasıala	сепарацияла
ıahsyńdy	иахсыңды
chıkildik	чикілдік
bıarman	биарман
kúigpgeı	күігпгеи
rıazat	риазат
bıısım	биисим
aeroshana	аэрошана
ýrbanızasıa	урбанизация
gradırná	градирня
padshah	падшаһ
skýlptor	скульптор
sıentızm	сциентизм
sýbektıvıs	субъективист
sachyrab	сачыраб
býntarlyq	бунтарьлық
emosıa	эмоция
taıandy	тайанды
gamma-fýnksıa	гамма-функция
karsınologıa	карцинология
senalyq	сценалық
vetnamdyq	вьетнамдық
ıatmady	иатмады
energetıkasy	энергетикасы
ındıvıdıým	индивидиум
pasaj	пассаж
glıserıd	глицерид
obektilerdi	объектілерді
atestat	аттестат
okýpasıa	оккупация
chilten	чілтен
desátına	десятина
nıkeld	никельд
sallallahý	саллаллаһу
alveolalyq	альвеолалық
ýltımatıst	ультиматист
lıstıń	листинг
kechesi	кечесі
mýltımedıalyq	мультимедиалық
behesht	беһешт
vegetasıa	вегетация
bahana	бәһана
sanksıalanǵan	санкцияланған
changal	чәнгәл
dvorándyq	дворяндық
skalárlyq	скалярлық
seksıasy	секциясы
ındıkasıalyq	индикациялық
popýlıster	популистер
eshitkech	ешіткеч
telefonogram	телефонограмма
tushshytqysh	тұщытқыш
dekonstrýksıa	деконструкция
bıosenologıa	биоценология
materıalızm	материализм
fýnksıa	функция
psıhıatr	психиатр
dılúsıa	дилюция
mıllıvat	милливатт
proporsıalyq	пропорциялық
dekantasıa	декантация
nýkleoproteıdter	нуклеопротеидтер
jıhazdandyr	жиһаздандыр
ımıgrasıa	иммиграция
agresıashyldyq	агрессияшылдық
karambol	карамболь
gıdropýlt	гидропульт
turnáz	тұрняз
teletranslátor	телетранслятор
podıým	подиум
antısosıalıst	антисоциалист
resıdıv	рецидив
gılotına	гильотина
kaznacheı	казначей
melıorasıalan	мелиорациялан
ılústrasıala	иллюстрацияла
qosymchasymen	қосымчасымен
ıroıkomıkalyq	ироикомикалық
terıgendik	терригендік
messo-soprano	меццо-сопрано
máshhúr	мәшһүр
ıalańǵach	иаланғач
plevrokok	плеврококк
qıamet	қиамет
kapıtalıs	капиталист
ıdealızasıa	идеализация
zodıaktik	зодиактік
abstınensıa	абстиненция
bıhaıaliq	бихаяльіқ
bıodegradasıa	биодеградация
ıabýta	иабута
akvızısıa	аквизиция
IAQTSh	ЯҚТШ
dastarqunchy	дастарқұнчы
danishpańdiq	даньішпаңдьіқ
komýnıkatıvtilik	коммуникативтілік
agresor	агрессор
ıatǵashdy	иатғашды
fýnksıalyq	функциялық
ketkech	кеткеч
notasıa	нотация
nasıonalızasıalaý	национализациялау
ıashynub	иашынұб
rante	рантье
katapýlta	катапульта
emısıasy	эмиссиясы
býrátsha	бурятша
rúkzak	рюкзак
fıltersiz	фильтерсіз
operasıonalızm	операционализм
ımıgrant	иммигрант
ıandi	иандьі
dıspozısıasy	диспозициясы
bosman	боцман
agresıashyl	агрессияшыл
ilý-chalý	ілу-чалу
súchúshdi	сүчүшді
operasıalardyń	операциялардың
avıatarıf	авиатариф
chókúri	чөкүрі
sqemalary	схемалары
redýksıalaǵysh	редукциялағыш
ıamrashdy	иамрашды
chandaǵaı-chandaǵaı	чандағай-чандағай
gala-konsert	гала-концерт
bılárd	бильярд
ındeksasıasy	индексациясы
klasıkalyk	классикалык
chabdurdy	чабдұрды
ekzarasıa	экзарация
taekvondo	таэквондо
bálzam	бальзам
ıýǵrýipdy	иуғруіпды
monopolıstik	монополистік
predıaktıvtilik	предиактивтілік
motoroler	мотороллер
gavhar	гавһар
chemodan	чемодан
hálakat	һалакат
elektrovozy	электровозы
máshhúrlen	мәшһүрлен
koloıd	коллоид
chashyratqy	чашыратқы
ıaǵanlyǵ	иағанлығ
al-baıanlyq	ал-байанлық
merozoıt	мерозоит
embrıologıasy	эмбриологиясы
kartodıagram	картодиаграмма
konseptýalızm	концептуализм
ıaıyqty	иайықты
amınoplasty	аминопласты
ıaǵyqty	иағықты
núsmeıker	ньюсмейкер
mezosıkl	мезоцикл
razrádtal	разрядтал
galvanostegıa	гальваностегия
sılhrom	сильхром
parfúmerlik	парфюмерлік
seleksıala	селекцияла
abdal-abádgeche	абдал-абәдгече
jyrtasbaı	жыртацбай
sırkachtyq	циркачтық
qah-qah	қаһ-қаһ
shlámbýr	шлямбур
osılograf	осциллограф
rýbıdıı	рубидии
reıtıńtik	рейтингтік
ıdılıa	идиллия
konfýsııshildik	конфуцийшілдік
sekýlárızasıalaný	секуляризациялану
ıanǵan	ианған
antısıpasıa	антиципация
behısht	беһишт
dıatomdar	диатомдар
konsorsıým	консорциум
estımatıvtik	эстимативтік
albýmın	альбумин
chýbalań	чубалаң
destılásıalan	дестиляциялан
remısıa	ремиссия
haıýanattar	хайуанаттар
realısik	реалистік
mıllıgram	миллиграмм
evolúsıonıs	эволюционист
gelıosenırlik	гелиоценирлік
ıinchkelendi	иінчкеленді
saldo	сальдо
metalıst	металлист
arı-araı	арй-арай
sekýlárızasıa	секуляризация
sekýlárızasıalan	секуляризациялан
mıtkal	миткаль
matrısasy	матрицасы
sosıalıs	социалист
qııamat	қийамат
ımmobılızasıa	иммобилизация
brıj	бридж
lıngvısti	лингвисті
asımılásıalan	ассимиляциялан
tetrasıklın	тетрациклин
katapýltalyq	катапульталық
chercheý	черчеу
ıarsynshyǵ	иарсыншығ
chishidi	чішіді
mollúskiler	моллюскілер
aerasıalaý	аэрациялау
dýagóı	дуагөи
rúli	рулі
feromagnıttilik	ферромагниттілік
fasıalyq	фациялық
ensefalıti	энцефалиті
ýrasıl	урацил
sosıonıka	соционика
polák	поляк
jalbyr-julbir	жалбыр-жұлбьір
bal	балл
ımplıkasıa	импликация
kálsıle	кальцийле
ıalǵatty	иалғатты
appersıpsıa	апперципция
konsorsıýmy	консорциумы
absolútp	абсолютп
gazbalondy	газбаллонды
leıborıster	лейбористер
balıstıkaly	баллистикалы
krosovka	кроссовка
beınıhaıat	бейниһаят
fantastıka	фантастика
vıljan	вильжан
MSShEU	МСШЕҰ
aktıvasıa	активация
monıster	монистер
depýtasıa	депутация
latıfýndıstiń	латифундистің
vetnam	вьетнам
rúldi	рулді
asosıasıasy	ассоциациясы
krosovkı	кроссовки
chaqpaǵyn	чақпағын
chábalchyq	чәбалчық
ıasady	иасады
solenosıt	соленоцит
ıalyman	иалыман
erúrdi	ерьүрді
barakýda	барракуда
avtomodelshi	автомодельші
gabro	габбро
etıket	этикет
plaskarta	плацкарта
beıapa	бейапа
monarhıster	монархистер
mýzııat	музийат
mıllıardty	миллиардты
válset	вальсет
dıafragma	диафрагма
fraksıashyldyq	фракцияшылдық
ıakýný	йакуну
tushshysy	тұщысы
morzıster	морзистер
krıterıým	критериум
ekspırasıa	экспирация
olımpıadashy	олимпиадашы
chahrajamal	чахражамал
aksıalar	акциялар
bolsman	больцман
deformasıalyq	деформациялық
asıstent	ассистент
ıaraǵy	иарағы
UQShU	ҰҚШҰ
taharathana	таһаратхана
gorıla	горилла
hýdaıa	худайа
trıol	триоль
tujyrimdamasy	тұжырьімдамасы
lısenzıalyq	лицензиялық
ekojúıeler	экожүйелер
haıýanattary	хайуанаттары
qirly	қьірлы
arabıster	арабистер
ınklúzder	инклюздер
galvanotehnıka	гальванотехника
evolúsıa	эволюция
alıgator	аллигатор
ShQB	ШҚБ
dedýksıaly	дедукциялы
azhara	азһара
kılvater	кильватер
artılerıalyq	артиллериялық
chyqaryb	чықарыб
seksıalyq	секциялық
sýbekt	субъект
aplıkata	аппликата
alpınısshe	альпинисше
qarylǵýchy	қарылғучы
múhmin	мүһмін
aleıa	аллея
akseptory	акцепторы
benzaldegıd	бензальдегид
ımpúlsi	импульсі
sosıal-demokratıa	социал-демократия
plashsyz	плащсыз
asfáltti	асфальтті
stımýlásıa	стимуляция
nepman	нэпман
ınternasıonalıstiń	интернационалистің
ırrıgasıalyq	ирригациялық
mıýazar	миуәзар
erozıasy	эрозиясы
týrel	турель
kirpıaz	кірпиаз
kısel	кисель
snıkersnýt	сникерснуть
roıalıstiń	роялистің
dıelektrık	диэлектрик
avıamektep	авиамектеп
palasso	палаццо
de-úre	де-юре
ısha-aı	ища-ай
batıal	батиаль
túbıńgilik	тюбингілік
alúmsılıkattar	алюмсиликаттар
mýltımádenıetti	мультимәдениетті
beınematerıal	бейнематериал
ShUAÓ	ШҰАӨ
ekotehnologıa	экотехнология
prýdensıalyq	пруденциялық
jiranda	жьіранда
karboıdter	карбоидтер
avıabaza	авиабаза
kálka	калька
tatánanyń	татьянаның
ahahalaý	аһаһалау
valútasy	валютасы
ýalaıatlarda	уалайатларда
reaksıalary	реакциялары
álpınısti	альпинисті
chikárt	чікәрт
mıkrosefal	микроцефал
gıdroenergetıkalyq	гидроэнергетикалық
ıarashmaqlyqdyn	иарашмақлықдын
ıarmash	иармаш
balústrada	балюстрада
taekvondoshy	таэквондошы
jaýhaz	жауһаз
geosentrlik	геоцентрлік
ıýflýshdy	иуфлушды
qoıaýyz	қойауыз
kredıt-revolver	кредит-револьвер
álıaıdar	әлиайдар
ekzamen	экзамен
medalısti	медалисті
tkanaralyq	тканьаралық
pres-atashe	пресс-атташе
vısaııa	висайя
empırıa	эмпирия
pesımızm	пессимизм
voklúzder	воклюздер
amoortızasıa	амоортизация
dıalektıka	диалектика
dılem	дилемма
mahıster	махистер
dıspecherleý	диспетчерлеу
sanche-resenzent	санче-рецензент
ıaraǵyn	иарағын
absolútti	абсолютті
gıasınt	гиацинт
geshtaltpsıhologıa	гештальтпсихология
ýazıýar	уазиуар
dúńgirchek	дүңгірчек
bısmıllahı	бисмиллаһи
glúkagon	глюкагон
velvet	вельвет
sholas	схоласт
albınos	альбинос
týrıstik	туристік
terenkýr	терренкур
ateısti	атеисті
alotroptyq	аллотроптық
qychqyrdym	қычқырдым
ınsektısıdter	инсектицидтер
losman	лоцман
destrýksıa	деструкция
operasıalaý	операциялау
alǵysqat	алғысхат
mehanızasıalat	механизациялат
búrokratıa	бюрократия
pres	пресс
adverbıal	адвербиал
terasalaý	террасалау
asosıasıalaný	ассоциациялану
ınterpretasıalaý	интерпретациялау
ıanaldyryq	ианалдырық
keıfıııat	кейфиййат
konotasıa	коннотация
zoosıt	зооцит
kobzar	кобзарь
frahtovshık	фрахтовщик
mobıldilik	мобильділік
pýblısıs	публицист
karser	карцер
flotasıa	флотация
kalomel	каломель
chyryshty	чырышты
sahnasúıer	сахнасүиер
entropıa	энтропия
taıaqlandy	тайақланды
tushshylan	тұщылан
jahattas	жаһаттас
kardıaldi	кардиальді
flúorıt	флюорит
ıashynlyǵ	иашынлығ
poetıkalyq	поэтикалық
kamýfláj	камуфляж
translokasıa	транслокация
ıntıha	интиһа
ınfraksıa	инфракция
ázilgóı	әзілгөи
tańylchaq	таңылчақ
ıarutǵan	иарұтған
úchilenchi	үчіленчі
qurylymdyq-fýnksıonaldyq	құрылымдық-функционалдық
ıashnady	иашнады
avıadesant	авиадесант
búdjettik	бюджеттік
chúkeleý	чүкелеу
al-hamdýlı-l-lahı	ал-хамдули-л-лаһи
jalpas	жалпац
fılokartıster	филокартистер
komısary	комиссары
chabdar	чабдар
fıtosenologıa	фитоценология
sıanıdi	цианиді
gramofon	граммофон
ındýksıaly	индукциялы
avıaklýb	авиаклуб
ekonomısti	экономисті
sábıdeıin	сәбидеиін
dzen-býddızm	дзэн-буддизм
álterasıa	альтерация
chempıonat	чемпионат
gıdroaeromehanıka	гидроаэромеханика
jıhazdaı	жиһаздай
lanset	ланцет
pezometrlik	пьезометрлік
aerologıa	аэрология
chekim-cheıin	чекім-чейін
anýıtant	аннуитант
ámekpaisa	әмекпаіца
aýrý-syrqaýli	ауру-сырқаульі
ıafatttlańdy	иафатттлаңды
avantúrıster	авантюристер
ındıvıdýalızasıalaý	индивидуализациялау
ıapturdy	иаптұрды
ıaǵasynda	иағасында
qaharlan	қаһарлан
dújına	дюжина
demıfologızasıa	демифологизация
geoekologıalyq	геоэкологиялық
baıapar	байапар
psıhodıagnostıka	психодиагностика
monoteıstiń	монотеистің
zahırlık	заһирлик
fın-ýgor	финн-угор
sonchaly	сончалы
kálsı	кальций
ıórgench	иөргенч
berıan	берйан
dáıeksiz	дәиексіз
ıaratǵan	иаратған
sosıometrıa	социометрия
bınehaıat	бинеһайат
ınstıtýsıonalızm	институционализм
aeroterapıa	аэротерапия
arahnoıdıt	арахноидит
chývshady	чувшады
ıaqynyda	иақыныда
óchúmni	өчүмні
korozıa	коррозия
máshhúrlik	мәшһүрлік
óchleri	өчлері
kadırııalyqtar	кадирийалықтар
beınıhaıa	бейниһая
bóıeli	бөиелі
qaharyn	қаһарын
eksport-ımport	экспорт-импорт
gerbısıd	гербицид
vakýmdaý	вакуумдау
sýbalpi	субальпі
kapıtalán	капитальян
anarhısti	анархисті
modernızasıala	модернизацияла
bastańǵi	бастаңғьі
ıabaqý	иабақу
anneksıala	аннекцияла
etnıkalyq	этникалық
ekonomıasy	экономиясы
adektıvtený	адъективтену
vólframıt	вольфрамит
muhajır	мұһажир
manıkúr	маникюр
bıbaha	бибаһа
makroelementter	макроэлементтер
eksedent	эксцедент
balaǵat	баллағат
ıapurtty	иапұртты
verıfıkasıonızm	верификационизм
gıdroızopezder	гидроизопъездер
ıarymlandy	иарымланды
revanshıster	реваншистер
chylama	чылама
ıańshatty	иаңшатты
bólshevıkshe	большевикше
gýmanıs	гуманист
antıarıtmıkalyq	антиаритмикалық
kros-roll	кросс-ролл
fashıs	фашист
komýtasıa	коммутация
zınahar	зинаһар
redýplıkasıa	редупликация
alchalǵy	алчалғы
karanmaıa	каранмайа
gemoroı	геморрой
farmasevtıkalyq	фармацевтикалық
vokabýlár	вокабуляр
ınovasıalyqprosess	инновациялықпроцесс
gaýarla	гауьарла
bısektrısa	биссектриса
mýsadas	муссадас
konklúdenttik	конклюденттік
ýalaıatlardyn	уалайатлардын
zamanaýı	заманауи
galvanoterapıa	гальванотерапия
taııar	таййар
jáhánnem	жәһәннем
golandıalyq	голландиялық
zaiıpa	заіипа
ıanajta	йанажта
cherbek	чербек
patshahı	патшаһи
selúloza	целлюлоза
ıańyla	иаңыла
akseptant	акцептант
ınsýht	инцухт
konglomerasıa	конгломерация
ıapurǵaq	иапұрғақ
ekstrafraht	экстрафрахт
ıanatta	ианатта
gıldıa	гильдия
gabro-amfıbolıt	габбро-амфиболит
krımınalıs	криминалист
empatıa	эмпатия
slavántaný	славянтану
tárıak	тәрйак
akkýmýláttan	аккумуляттан
bıogeosenologıalyq	биогеоценологиялық
desátınadaı	десятинадай
shahadat	шаһадат
tresti	тресті
mýnısıpaldyq	муниципалдық
vóltti	вольтті
dezınseksıa	дезинсекция
rejısór	режиссер
ıaıyndy	иайынды
sosıal-demokrat	социал-демократ
ınternasıonaldy	интернационалды
chattaý	чаттау
manıfes	манифест
gıdrokostúm	гидрокостюм
hıshkım	һишким
vıbrasıalyq	вибрациялық
shtólná	штольня
IAQTJSh	ЯҚТЖШ
motomsıkl	мотомцикл
ıalturdy	иалтұрды
ásgilik	әцгілік
beltıń	бельтинг
qossy-qolań	қоцсы-қолаң
sýbvensıasy	субвенциясы
plagıatshy	плагиатшы
dıahronıa	диахрония
aisylaý	аіцылау
ıatǵuzdy	иатғұзды
hej	хедж
baldary	баллдары
jýrnalıs	журналист
germetızasıala	герметизацияла
aýskúltasıa	аускультация
menshevıktik	меньшевиктік
sentımentaldy	сентиментальды
ımperıalıster	империалистер
ımplantasıalyq	имплантациялық
tafaýıt	тафауит
tonneldi	тоннельді
qylychymny	қылычымны
chaqyldaq	чақылдақ
garmonızasıa	гармонизация
kodıfıkasıa	кодификация
gıdrolokasıalyq	гидролокациялық
polısıasy	полициясы
mýltımedıa	мультимедиа
ıashlyǵ	иашлығ
ınstallásıalyq	инсталляциялық
gaýharpurysh	гауһарпұрыш
ıaǵsydy	иағсыды
materıalısik	материалистік
ılústrasıalaý	иллюстрациялау
reemıgrant	реэмигрант
mılıtarızasıalaý	милитаризациялау
ınovasıalyq	инновациялық
áshekeılet	әшекеилет
revanshısti	реваншисті
ıashaǵu	иашағұ
pıanıstiń	пианистің
rysarlyq	рыцарьлық
múlik-jıhaz	мүлік-жиһаз
dıaftorıt	диафторит
evolúsıonıster	эволюционистер
ıararny	иарарны
deskvamasıa	десквамация
kanalızasıalyq	канализациялық
bordúr	бордюр
prosester	процестер
sadıstiń	садистің
qfqym	қьфқым
aggravasıa	аггравация
ıarmandy	иарманды
chefsheń	чефшең
valma	вальма
shlúzdeý	шлюздеу
solfedjıo	сольфеджио
ımıgrasıalyq	иммиграциялық
vóltıjırovka	вольтижировка
edýard	эдуард
mısıonerlik	миссионерлік
kenchliıú	кенчліиү
baptıster	баптистер
ekinchi	екінчі
modýlon	модульон
ınadaptasıa	инадаптация
sáýlet-kompozısıalyq	сәулет-композициялық
júk-etalon	жүк-эталон
chańbaq	чаңбақ
edınısa	единица
konspırasıa	конспирация
kamer-únker	камер-юнкер
qahary	қаһары
hemmát	һеммәт
marganest	марганецт
predsedatel	председатель
motosıkletsh	мотоциклетш
ýılaıat	уилайат
konslager	концлагерь
charǵysh	чарғыш
geotermaldy	геотермальды
ıdentıfıkasıasy	идентификациясы
gramatıkalaný	грамматикалану
ahaste	әһәсте
trıangýlásıa	триангуляция
profesor	профессор
gavan	гавань
pırometalýrgıa	пирометаллургия
sıfrlyq	цифрлық
ýdochka	удочка
ahahalat	аһаһалат
pomeshık	помещик
seksıaly	секциялы
dısproporsıa	диспропорция
hasadchy	хасадчы
ál-malamatııa	әл-маламатийа
deltaplanershi	дельтапланерші
váls	вальс
qybylagóh	қыбылагөһ
hýdahafız	худаһафиз
ıańqurdy	иаңқұрды
aerobýs	аэробус
atestatt	аттестатт
natýralısti	натуралисті
melıorasıalanatyn	мелиорацияланатын
chýlbýsh	чулбуш
charaına	чарайна
gýlásh	гуляш
ıneseńırovka	инецеңировка
sachúkni	сачүкні
romansement	романцемент
anútagúl	анютагүл
hárqancha	һәрқанча
elchisi	елчісі
alúmınılen	алюминийлен
absolútshildik	абсолютшілдік
benetıt	беннеттит
elektromagnıttik	электромагниттік
áltrýızm	альтруизм
tasqır	тасхир
álbom	альбом
ıaǵutǵan	иағұтған
net-termz	нэт-термз
strýktýralısti	структуралисті
ıýlkýshdy	иулкушды
ıavrydy	иаврыды
keıýana	кейуана
ındees	индеец
qaıýana	қайуана
gýmanısik	гуманистік
shuharat	шұһарат
ıaqaly	иақалы
delegasıa	делегация
kasasy	кассасы
álgeologıalyq	альгеологиялық
gramonal	граммонал
syıaqysy	сыйақысы
ıabusha	иабұша
maǵynas	мағынась
evender	эвендер
graýndeffekt	граундэффект
gaolán	гаолян
